ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,55,495.50666666666666,607.5066666666667,0,55
1,56,922.3181818181819,624.4125874125874,0,56
1,57,505.03908794788276,626.8892508143323,0,57
1,58,474.2227272727273,654.6431818181818,0,58
1,59,902.4542124542124,647.1208791208791,0,59
1,60,496.47904191616766,659.5868263473054,0,60
1,61,556.2487562189054,693.8656716417911,0,61
1,62,546.9868421052631,720.469298245614,0,62
1,63,470.4232804232804,751.957671957672,0,63
1,64,444.29430379746833,775.1044303797469,0,64
1,65,339.32929782082323,808.7384987893463,0,65
1,66,368.2828282828283,803.5589225589225,0,66
1,67,350.35855263157896,829.1940789473684,0,67
1,68,239.6140776699029,881.2354368932039,0,68
1,69,216.95744680851064,903.5851063829788,0,69
2,1,207.13690476190476,51.19345238095238,0,1
2,2,976.0515021459228,65.84978540772532,0,2
2,3,879.5774647887324,89.83802816901408,0,3
2,4,905.8519417475728,100.68932038834951,0,4
2,5,839.8835616438356,106.01141552511416,0,5
2,6,860.179104477612,107.01194029850747,0,6
2,7,894.4941176470588,106.03529411764706,0,7
2,8,274.10795454545456,121.2840909090909,0,8
2,9,885.8020134228188,117.79194630872483,0,9
2,10,294.6212121212121,135.29393939393938,0,10
2,11,132.38148984198645,138.31602708803612,0,11
2,12,910.8443579766537,136.95719844357976,0,12
2,13,879.9756097560976,137.15121951219513,0,13
2,14,851.7002518891687,146.6498740554156,0,14
2,15,108.45833333333333,145.13095238095238,0,15
2,16,270.4454828660436,155.6355140186916,0,16
2,17,160.2004555808656,168.42824601366743,0,17
2,18,871.0613718411553,162.25270758122744,0,18
2,19,135.57407407407408,172.0952380952381,0,19
2,20,898.1647940074906,160.90262172284645,0,20
2,21,287.93898305084747,167.6,0,21
2,22,147.1860465116279,164.45348837209303,0,22
2,23,887.7086330935252,181.54676258992805,0,23
2,24,922.6105032822757,198.84245076586433,0,24
2,25,900.9666666666667,199.54666666666665,0,25
2,26,944.37109375,203.24609375,0,26
2,27,909.7409638554217,231.46385542168676,0,27
2,28,934.5835411471322,237.1945137157107,0,28
2,29,954.6229508196722,230.7827868852459,0,29
2,30,720.4742729306488,233.7337807606264,0,30
2,31,337.3003194888179,278.926517571885,0,31
2,32,353.10884353741494,295.1462585034014,0,32
2,33,137.19,302.1066666666667,0,33
2,34,330.22977346278316,313.3398058252427,0,34
2,35,182.67206477732793,314.834008097166,0,35
2,36,161.20186335403727,322.6149068322981,0,36
2,37,347.8692810457516,326.91830065359477,0,37
2,38,207.4835164835165,334.98534798534797,0,38
2,39,672.2086956521739,377.5739130434783,0,39
2,40,690.402,400.7,0,40
2,41,649.6791277258567,398.1464174454829,0,41
2,42,710.3325471698113,408.8042452830189,0,42
2,43,670.979274611399,401.5958549222798,0,43
2,44,591.6682926829268,402.5317073170732,0,44
2,45,533.1304347826087,409.73478260869564,0,45
2,46,511.2378640776699,412.5194174757282,0,46
2,47,567.5283018867924,411.29716981132077,0,47
2,48,730.3450479233227,421.7667731629393,0,48
