ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Intensity_IntegratedIntensityEdge_OriBlue,Intensity_IntegratedIntensityEdge_OriGreen,Intensity_IntegratedIntensity_OriBlue,Intensity_IntegratedIntensity_OriGreen,Intensity_LowerQuartileIntensity_OriBlue,Intensity_LowerQuartileIntensity_OriGreen,Intensity_MADIntensity_OriBlue,Intensity_MADIntensity_OriGreen,Intensity_MassDisplacement_OriBlue,Intensity_MassDisplacement_OriGreen,Intensity_MaxIntensityEdge_OriBlue,Intensity_MaxIntensityEdge_OriGreen,Intensity_MaxIntensity_OriBlue,Intensity_MaxIntensity_OriGreen,Intensity_MeanIntensityEdge_OriBlue,Intensity_MeanIntensityEdge_OriGreen,Intensity_MeanIntensity_OriBlue,Intensity_MeanIntensity_OriGreen,Intensity_MedianIntensity_OriBlue,Intensity_MedianIntensity_OriGreen,Intensity_MinIntensityEdge_OriBlue,Intensity_MinIntensityEdge_OriGreen,Intensity_MinIntensity_OriBlue,Intensity_MinIntensity_OriGreen,Intensity_StdIntensityEdge_OriBlue,Intensity_StdIntensityEdge_OriGreen,Intensity_StdIntensity_OriBlue,Intensity_StdIntensity_OriGreen,Intensity_UpperQuartileIntensity_OriBlue,Intensity_UpperQuartileIntensity_OriGreen,Location_CenterMassIntensity_X_OriBlue,Location_CenterMassIntensity_X_OriGreen,Location_CenterMassIntensity_Y_OriBlue,Location_CenterMassIntensity_Y_OriGreen,Location_CenterMassIntensity_Z_OriBlue,Location_CenterMassIntensity_Z_OriGreen,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_OriBlue,Location_MaxIntensity_X_OriGreen,Location_MaxIntensity_Y_OriBlue,Location_MaxIntensity_Y_OriGreen,Location_MaxIntensity_Z_OriBlue,Location_MaxIntensity_Z_OriGreen,Number_Object_Number,Parent_Expanded_membrane
1,1,984,2640,648,73,600,18,620.9085365853658,49.0,2.417447848119516,1228,0.953307881959997,35.39587139793849,1,0.37272727272727274,0.413659389085841,69.77584951736208,65.0,8.602325267042627,3.845488764844586,3.605551275463989,22.010558466673896,21.072316049410944,40.667043830020106,172.89444430272832,0.8013029315960912,0.29653673657263907,0.06844035166018644,0.07850527287425242,0.06185659232647897,0.06623677326100978,0.0345919706800556,0.00750186068636706,0.020285444573391473,0.02184098519481979,0.032570482340670566,0.03948788783894936,0.015778847673090107,0.00762020147084529,0.013988467421603685,0.0034377854455344236,0.012132115673123663,0.01102220120636809,0.01581286366437222,0.014306980721881482,0.00882025548177167,0.008286968567952932,0.00801559354344028,0.012129153148063529,0.004694576904392553,0.00743675187361281,0.003233178864685217,0.001655121174375835,0.00405196613548695,0.006518958356383817,0.005589340249006779,1.5818875536788255,0.27800411987118423,18.636347088962793,1.9750057216733694,0.014099336229264736,0.0019073777366429567,0.005569543689489365,9.155413135886192e-05,2.6149693300268337,0.2755248580087696,0.018585488200187683,0.002426184481009841,0.030655374750494957,0.002517738612368703,0.011219060664388833,0.001971660424618328,0.018939377122929667,0.00200711963584692,0.019699396565556526,0.0019989318680018187,0.0032959487289190292,0.0016479743644595146,0.0032959487289190292,0.0015716792549937963,0.003968559602671875,0.00013936401728956356,0.007093928227335862,0.00015075294692042603,0.02525368146598339,0.0021057450212538242,622.2424948545271,621.0962976698189,51.24913759763988,49.201642561344954,0.0,0.0,620.9085365853658,49.0,0,613.0,641.0,44.0,64.0,0.0,0.0,1,0
1,2,425,1050,560,54,530,19,544.7364705882353,36.07058823529412,2.358215582534557,536,0.940130502695743,23.26213245840639,1,0.40476190476190477,0.4240494411987654,42.04877722080241,40.496913462633174,6.0,2.645651998262167,2.23606797749979,16.36308218874416,14.330840046901017,39.50918871046282,112.22539674441617,0.792910447761194,0.32995536982466106,0.020621739164276367,0.12885396273072325,0.07822690122764529,0.023024697256618133,0.01421866284561297,0.03789359553434167,0.055287417294437396,0.03083408042098337,0.006817461215882138,0.014434739362324766,0.010353847154038602,0.01739762250254033,0.022615145905686446,0.017848835723421105,0.016697637290620727,0.007969386682571827,0.004186637172816292,0.012571154936294059,0.005379332385898078,0.008614669534310589,0.006091498210134463,0.006085405801138422,0.007021884877546661,0.011766772221844463,0.0031842014261709755,0.0014307462643762094,0.0074308875231102285,0.007130209358528894,0.0021204611822138986,0.6313420427031815,0.17895780876278877,3.2588388356380165,0.8039063094183803,0.006927595939487219,0.0018005645833909512,0.0007324328180402517,9.155413135886192e-05,0.07969755142073721,0.05859419508374474,0.00953688845038414,0.00221255817450583,0.011184862814843655,0.002334630349650979,0.0067164047096083136,0.0019038064761998806,0.007667856083854156,0.0018915442574550124,0.00782787799835205,0.001892118714749813,0.0045929658226668835,0.0017090104520320892,0.0045929658226668835,0.0014190890360623598,0.00105520914812771,0.0001179320613758167,0.0011138459326458707,0.00012235771816681098,0.008422980085015297,0.0019684138242155313,544.7136415616451,544.7715625237264,36.14694617690731,36.11751195808974,0.0,0.0,544.7364705882353,36.07058823529412,0,534.0,552.0,30.0,44.0,0.0,0.0,2,0
1,3,433,990,670,66,637,36,653.6882217090069,49.90762124711316,1.7644182527376577,487,0.9467490104899945,23.480049464818542,1,0.43737373737373736,0.5667590427884136,42.16394124981015,38.948684188300895,6.4031242374328485,2.9942280358721294,2.8284271247461903,13.137940457014365,13.575630908484715,49.37125029020529,97.9827560572969,0.8891170431211499,0.363423021008784,0.03012083596450779,0.12340352201586366,0.09301242332965633,0.03131364472294682,0.01658568898766644,0.03360844791585393,0.05401442636802096,0.03902756736468758,0.01977714425232315,0.018457823937698212,0.00877633044525551,0.01835309314114398,0.012180486618263054,0.022502238940219976,0.017983443764793574,0.010385300994280951,0.006494700441148354,0.00929133090099557,0.0037828078417939787,0.0002866485022363966,0.005675106405631147,0.00299519310050809,0.007063152820459197,0.008734981433088379,0.0014389496268544955,0.0010611819885762304,0.001725815020670928,0.0028967295814012885,0.0017323527330092199,0.6940108449198306,0.1550926985219121,4.548149889335036,0.8240787363611162,0.00936903990805149,0.0018158236052840948,0.0012436099350452423,7.629510946571827e-05,0.35455684074342986,0.03625617295032439,0.010925459675490856,0.0023193713277578354,0.013748378492891788,0.002471961546689272,0.008568035122467043,0.0019147246731100259,0.010503810367979299,0.0019031841486399912,0.010559243150055408,0.0019073777366429567,0.006424048449844122,0.0017242694739252329,0.00634775310754776,0.0015716792549937963,0.0011493232532041352,0.00011087006949106054,0.0016647408547156353,0.00012557736094328322,0.011841000989079475,0.0019684138242155313,653.4081452633574,653.6657593600711,49.69020979867894,49.87916157463985,0.0,0.0,653.6882217090069,49.90762124711316,0,655.0,644.0,52.0,47.0,0.0,0.0,3,0
1,4,338,525,184,70,159,49,170.96745562130178,58.718934911242606,1.295660418531706,361,0.8436114957363524,20.7449985808745,1,0.6438095238095238,0.7718071692992211,28.39599125770948,27.80287754891569,7.280109889280518,3.2416821400629994,3.0,14.976905298081187,15.247342309958507,57.00423657899606,74.18376618407356,0.9362880886426593,0.5547364109135762,0.030478636115633846,0.17997672041099913,0.10101501410322913,0.01531704329216384,0.018134875135357387,0.012124587778852211,0.03513177538197061,0.03248761520209656,0.0064206020635687415,0.008194226756578691,0.008812109145304205,0.01564328997362319,0.013061253083078815,0.0035002220431610315,0.014082870235824982,0.008108776301976497,0.012474695531122675,0.0038027646844401,0.003176279562786668,0.009671117149458187,0.013871512943887073,0.012994647995556805,0.007958829897446522,0.007728645859451526,0.004044664746547586,0.004478416513791903,0.009410703610749834,0.0030605534614079276,0.000343216744287286,0.5018997569568455,0.11754024564288557,3.798504650592804,0.6380407414399087,0.00882734451442957,0.0018005645833909512,0.0021362630650401115,9.155413135886192e-05,0.20723740994026826,0.016057415107284558,0.010742351412773132,0.0021362630650401115,0.02032501809298992,0.0022735942620784044,0.007966662808838818,0.0018657181848077075,0.01123817943962368,0.0018876945013015052,0.010742351412773132,0.001892118714749813,0.006164644844830036,0.001495384145528078,0.006164644844830036,0.001495384145528078,0.0010852795372056443,0.00011223608485341554,0.003075997440980068,0.000122555359311979,0.013199054170399904,0.0019684138242155313,171.15111173255545,170.96013296981872,58.622925657116085,58.70464437748122,0.0,0.0,170.96745562130178,58.718934911242606,0,172.0,165.0,59.0,58.0,0.0,0.0,4,1
1,5,565,1092,602,91,560,65,579.7345132743363,77.02477876106195,1.6675879705413181,619,0.9332251090232847,26.821266613927218,1,0.5173992673992674,0.5996685138448129,45.279206345390705,45.18849411078001,8.06225774829855,3.536188064706134,3.1622776601683795,15.84288572930443,16.268466349397936,63.02218130661144,108.8111831820431,0.9127625201938611,0.3522920385775548,0.014470981220799624,0.1514190407132252,0.0766912915011374,0.010064013216432527,0.011957796647510793,0.04168718850183226,0.0612300910848483,0.02964746466039588,0.0006066185206386552,0.015647958957072813,0.0062175545371241205,0.017106397737427784,0.01864787879795936,0.022516288245029336,0.015140184753022265,0.0020573024964346464,0.00448363970351332,0.010312103553543112,0.002708670587147466,0.004288802282424469,0.001579479467175539,0.0050047828578963175,0.007634393828188233,0.009640900063211633,0.0009791224514742282,0.00419117194675362,0.002728460896710367,0.004391232395759651,0.00141085799140036,0.8095826772041619,0.1725337605457753,7.270512005314231,1.0780804147943854,0.01024261862039566,0.0018158236052840948,0.0026703285984694958,7.629510946571827e-05,0.2823011976276929,0.0399164494981647,0.012344548478722572,0.0022583352401852608,0.02034027688205242,0.0023193713277578354,0.008896512936309471,0.0018959753906129153,0.012868162841264125,0.0019081069288396201,0.012771801091730595,0.0019073777366429567,0.005569543223828077,0.0016632333863526583,0.005569543223828077,0.0014190890360623598,0.0016431705287262056,0.00013735156709673404,0.0033322760148665545,0.000134451314469216,0.015495536848902702,0.001983672846108675,579.8321352891079,579.7723631319708,76.75989405328521,77.01210156825002,0.0,0.0,579.7345132743363,77.02477876106195,0,581.0,598.0,76.0,85.0,0.0,0.0,5,4
1,6,500,1020,178,96,144,66,160.766,79.53,1.7322254964492303,565,0.9077648251977058,25.2313252202016,1,0.49019607843137253,0.5772920454350955,39.9380524295386,37.64306044943742,7.211102550927978,3.330445591740794,3.0,16.158647430786182,16.75319289375688,55.37112543621434,104.32590180780451,0.8849557522123894,0.4492729515649834,0.09892635554316971,0.10835055848695198,0.08243806670424446,0.0664085771381988,0.05223805166319045,0.004487677600578659,0.023678951513506175,0.0147818187769575,0.021229191898128,0.02234529401153253,0.018198826398850017,0.003437303815142714,0.005460641452052101,0.008355413118932689,0.0069892651842328075,0.0019647830732938583,0.004498039776651405,0.005930844573212393,0.003063944187723436,0.004483070564514275,0.008114935033386294,0.005893619490467516,0.0054765904488523,0.008936848418947483,0.0048952379472648345,0.003440560154021279,0.0026777686924115344,0.005654888352990616,0.0069384507624374574,0.6273136595264077,0.16731517505832016,4.272175234276801,0.9516136413440108,0.00746166193857789,0.0018158236052840948,0.0010986491106450558,9.155413135886192e-05,0.20743442673089454,0.019162576966517707,0.009887846186757088,0.0022583352401852608,0.012130922637879848,0.0023498893715441227,0.007048468084566379,0.0018799457871721368,0.008544350468553603,0.0019032272826880216,0.008560311049222946,0.001892118714749813,0.004730296786874533,0.001541161211207509,0.004730296786874533,0.0014343480579555035,0.001000591130064881,0.0001236305590832793,0.0014406103785381495,0.00013504882307959138,0.00965896062552929,0.001983672846108675,160.90688520944562,160.78497209928804,79.37774889441243,79.53269514463473,0.0,0.0,160.766,79.53,0,159.0,168.0,78.0,82.0,0.0,0.0,6,3
1,7,689,884,694,104,642,87,667.9172714078375,95.35849056603773,1.8703353901307904,753,0.9596916451587314,29.618609797263055,1,0.7794117647058824,0.5346634647864259,56.675663306349875,51.78802950489621,8.0,3.531236322028206,3.1622776601683795,15.09447681782315,15.928981896752749,-86.8035225725938,127.25483399593904,0.9150066401062417,0.32709248557886916,0.012057556859174852,0.11485792754650437,0.08988915007954948,0.010715063494181432,0.01061080522030989,0.04351712462009222,0.05470403284200757,0.041643140693140554,0.0054209683531463385,0.009153711657876333,0.007340597774117223,0.025775967381365682,0.021112952215915973,0.025624871991302253,0.02199502889745669,0.005164494809387388,0.004127189908169578,0.006235222642945896,0.0046348785196930154,0.011121618665981707,0.007564357442049717,0.009680035946273586,0.009247715972846555,0.0126277161009463,0.002095024171503373,0.002433695974243668,0.0019372494936689762,0.0033309098529259186,0.0028652572925322636,0.8135652802884579,0.21722743567079306,6.220370871480554,1.2997024487704039,0.00782787799835205,0.0018005645833909512,0.001281757839024067,9.155413135886192e-05,0.5436384961764579,0.006597550717731018,0.009964141063392162,0.002334630349650979,0.012939650565385818,0.0023956664372235537,0.007136537546389981,0.0019055038216736233,0.00902811447239558,0.0018863605932807022,0.009063859470188618,0.0018768596928566694,0.005188067443668842,0.0015564202331006527,0.005188067443668842,0.0014343480579555035,0.0009725433226411258,0.00013658765447820492,0.0016212094905451405,0.00013248526676092824,0.010376134887337685,0.0019684138242155313,667.3739341526529,667.9189795247488,95.37658591498308,95.35211796750258,0.0,0.0,667.9172714078375,95.35849056603773,0,660.0,683.0,96.0,91.0,0.0,0.0,7,6
1,8,1122,3360,698,150,614,110,654.716577540107,125.67201426024955,4.628196516638525,1742,0.9765254516963506,37.796491493164446,-1,0.3339285714285714,0.2160668840238235,101.68738541123984,89.31965069345043,8.54400374531753,3.2449609819525698,2.8284271247461903,23.389996418507337,21.903671051310553,71.40184879673656,255.45079348883235,0.6440872560275546,0.17906427289958043,0.015666500050743784,0.05489571521641283,0.0546638922651486,0.02118943497252139,0.0051127717780116945,0.0007854033285996504,0.04160216702134691,0.02666374814706321,0.02119462841160452,0.010355569254616385,0.0019178431809262516,0.004442905865140608,0.012621393777600529,0.02592777272485766,0.015317581889788314,0.014983573966592712,0.014464379220519422,0.003745232877003852,0.0008893430019610127,0.01110920832655821,0.003766856007948672,0.009817171887772312,0.016351012578715896,0.0095417317192727,0.008322852623644243,0.013433534247421207,0.006141931191361523,0.0015165076790639507,0.0004459161336236131,1.353749930858612,0.4150148774497211,8.369924593251199,2.1132372010033578,0.006439307238906622,0.0018005645833909512,0.0010070954449474812,7.629510946571827e-05,1.329621464647129,0.0809272693707653,0.008224613033235073,0.00221255817450583,0.011306934989988804,0.0023041123058646917,0.0061534087766300545,0.0018864312611350958,0.0074598258406873424,0.0018834556158675202,0.00746166193857789,0.0018768596928566694,0.004135195165872574,0.001495384145528078,0.004135195165872574,0.001281757839024067,0.0008449187221997221,0.00013651742357084632,0.0013552107117645869,0.00012622542236503,0.008468757383525372,0.0019531548023223877,653.5083852641314,654.6358608140602,125.11688845151478,125.6661804738214,0.0,0.0,654.716577540107,125.67201426024955,0,633.0,671.0,119.0,136.0,0.0,0.0,8,12
1,9,566,1530,351,164,317,119,331.8851590106007,142.2791519434629,2.4930101909154434,710,0.9568649895250766,26.844991754889815,1,0.36993464052287583,0.40112150509613276,52.79583994443113,49.39635614091387,6.4031242374328485,2.9379043741603916,2.8284271247461903,15.104081035436716,15.338930834710379,34.56710564505493,133.16042558696057,0.7971830985915493,0.29534982881971406,0.04615490194345845,0.09798401231729038,0.07003037960950902,0.05098205948353792,0.02328560508320597,0.015013409917162934,0.03915760865657949,0.02809894707970867,0.031071591504658155,0.03457309972178462,0.00965031359072413,0.007845681729627121,0.0012904956770058505,0.013491939983245925,0.014893145315924734,0.014346908806895256,0.02128728579127895,0.015185767135344379,0.003152471941955231,0.0026108233756045296,0.0031794408261006145,0.00512644206266472,0.006178741390424328,0.009444677929253261,0.006217397473395952,0.005102192788446048,0.008534911356708084,0.004562866668058153,0.0013511173999504994,0.8841535183601081,0.21235980768688023,5.1721676154993474,1.0785534444730729,0.008361943997442722,0.0018310826271772385,0.00080872792750597,7.629510946571827e-05,0.45338369096355535,0.011749550029402585,0.010650797747075558,0.0022583352401852608,0.012481880374252796,0.0023041123058646917,0.007965347012253227,0.0019131514206025247,0.009138105327737364,0.0019055714566662066,0.009124895557761192,0.0019073777366429567,0.005737392231822014,0.0016021972987800837,0.005737392231822014,0.0015106431674212217,0.0009053473833099248,0.00011039701058939997,0.0011319591517070867,0.0001221278823038862,0.009994659572839737,0.001983672846108675,331.5519621959384,331.8924776820452,141.97168380864136,142.28834373187328,0.0,0.0,331.8851590106007,142.2791519434629,0,325.0,322.0,135.0,128.0,0.0,0.0,9,7
1,10,606,1886,747,160,701,119,722.7607260726072,140.77392739273927,2.544314364147796,718,0.9762554966714078,27.777385840094972,1,0.3213149522799576,0.3930331935750968,61.897599078803935,56.85068161420758,6.324555320336759,2.90439855919636,2.8284271247461903,14.20894498712198,13.408398042668194,50.6374553061807,139.1959594928933,0.8440111420612814,0.238732414637843,0.025516299410903914,0.08513759730267483,0.06509705250068072,0.027487184611450777,0.01678527395756167,0.024462300902382817,0.04526956437263256,0.029501220731077814,0.0201524721957149,0.02360430343516722,0.010599117125567525,0.017407058113781272,0.015172899804587513,0.022579081814669666,0.01589789455598778,0.015350442930281033,0.01561995993812024,0.016717236727929085,0.006441129266009372,0.008216805603288193,0.006703800027925619,0.006925129455996458,0.010898924072747146,0.009697902240870469,0.010821946894476724,0.010130170014530634,0.009687618516829644,0.010713710282487382,0.003643039398871271,0.7591516133397818,0.21809719991870224,4.846097577363253,1.1465018689632416,0.0070267796982079744,0.0018005645833909512,0.0009308010339736938,7.629510946571827e-05,0.5937523066848892,0.025193448287631797,0.00883497390896082,0.0022583352401852608,0.011566339060664177,0.0024109254591166973,0.006544410459825705,0.0018801482751612262,0.007996860688718238,0.0018919172755169002,0.008010986261069775,0.001892118714749813,0.004547188524156809,0.0016021972987800837,0.004547188524156809,0.0015716792549937963,0.000824853378856437,0.00012720630841752924,0.0012862938311732678,0.00013237054278217422,0.008918898180127144,0.0019684138242155313,722.3706173736724,722.7524089650767,140.32631483180177,140.7501464011925,0.0,0.0,722.7607260726072,140.77392739273927,0,715.0,736.0,133.0,153.0,0.0,0.0,10,9
