feature
AreaShape_Solidity_x
Intensity_LowerQuartileIntensity_OriGreen_x
Intensity_MaxIntensity_OriBlue_x
Intensity_MeanIntensityEdge_OriBlue_x
Intensity_MeanIntensity_OriGreen_x
Intensity_MedianIntensity_OriGreen_x
Intensity_UpperQuartileIntensity_OriBlue_x
AreaShape_Zernike_2_2_y
Intensity_LowerQuartileIntensity_OriBlue_y
Intensity_MADIntensity_OriBlue_y
Intensity_MedianIntensity_OriBlue_y
Intensity_MinIntensity_OriBlue_y
Intensity_StdIntensityEdge_OriBlue_y
Intensity_StdIntensity_OriBlue_y
