ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Children_DNA_Count,Intensity_IntegratedIntensityEdge_OriBlue,Intensity_IntegratedIntensityEdge_OriGreen,Intensity_IntegratedIntensity_OriBlue,Intensity_IntegratedIntensity_OriGreen,Intensity_LowerQuartileIntensity_OriBlue,Intensity_LowerQuartileIntensity_OriGreen,Intensity_MADIntensity_OriBlue,Intensity_MADIntensity_OriGreen,Intensity_MassDisplacement_OriBlue,Intensity_MassDisplacement_OriGreen,Intensity_MaxIntensityEdge_OriBlue,Intensity_MaxIntensityEdge_OriGreen,Intensity_MaxIntensity_OriBlue,Intensity_MaxIntensity_OriGreen,Intensity_MeanIntensityEdge_OriBlue,Intensity_MeanIntensityEdge_OriGreen,Intensity_MeanIntensity_OriBlue,Intensity_MeanIntensity_OriGreen,Intensity_MedianIntensity_OriBlue,Intensity_MedianIntensity_OriGreen,Intensity_MinIntensityEdge_OriBlue,Intensity_MinIntensityEdge_OriGreen,Intensity_MinIntensity_OriBlue,Intensity_MinIntensity_OriGreen,Intensity_StdIntensityEdge_OriBlue,Intensity_StdIntensityEdge_OriGreen,Intensity_StdIntensity_OriBlue,Intensity_StdIntensity_OriGreen,Intensity_UpperQuartileIntensity_OriBlue,Intensity_UpperQuartileIntensity_OriGreen,Location_CenterMassIntensity_X_OriBlue,Location_CenterMassIntensity_X_OriGreen,Location_CenterMassIntensity_Y_OriBlue,Location_CenterMassIntensity_Y_OriGreen,Location_CenterMassIntensity_Z_OriBlue,Location_CenterMassIntensity_Z_OriGreen,Location_Center_X,Location_Center_Y,Location_MaxIntensity_X_OriBlue,Location_MaxIntensity_X_OriGreen,Location_MaxIntensity_Y_OriBlue,Location_MaxIntensity_Y_OriGreen,Location_MaxIntensity_Z_OriBlue,Location_MaxIntensity_Z_OriGreen,Number_Object_Number
1,1,292,700,74,79,49,51,60.57534246575342,63.99657534246575,1.7841436164413287,352,0.9296753764740664,19.281751659604673,1,0.41714285714285715,0.5604929955104233,33.8865705030534,31.240998703626616,6.324555320336759,2.569062421680294,2.23606797749979,13.8,12.483128861666962,42.52693079821507,80.91168824543142,0.8295454545454546,0.38092822444945446,0.042494782097113395,0.11694958429159218,0.10116774091586993,0.016305276406430202,0.006240524488757122,0.02870414732423022,0.06088786087125329,0.03668000362599545,0.006843178784151164,0.012473736496294994,0.006833673499731142,0.021473933244196563,0.019400728946080612,0.014847018094905904,0.018541341404140498,0.0036003208487974253,0.009677571450526242,0.013438230179606702,0.006792866390763572,0.010025412705173,0.008440714999532677,0.0010991567417896217,0.004980873764125499,0.011530605104813307,0.0005229368291838464,0.006473909517995876,0.009437006053409304,0.009178043138353716,0.003925077767982004,1,0.41295491717755795,0.12530708778649569,1.6231021923013031,0.5488517584744841,0.004562447778880596,0.0017853055614978075,0.0006408789195120335,9.155413135886192e-05,1.706044370630199,0.04208452133360668,0.0120393680408597,0.002166781108826399,0.0120393680408597,0.002166781108826399,0.006256892684508453,0.0018985922391893287,0.005558569151716791,0.0018796293098441235,0.005157549399882555,0.0018768596928566694,0.003738460363820195,0.0015259021893143654,0.003128099488094449,0.0015259021893143654,0.002088678539496746,0.00012056180039748459,0.0015140384220339493,0.00012098753291257812,0.0060120546258986,0.0019684138242155313,61.64445801472665,60.54722121827129,65.32607876010057,64.02788512330062,0.0,0.0,60.57534246575342,63.99657534246575,66.0,60.0,76.0,68.0,0.0,0.0,1
1,2,452,600,469,84,449,54,458.53761061946904,68.2433628318584,1.3841902574835467,496,0.7955700671777387,23.98967015655475,1,0.7533333333333333,0.7224440387392963,31.01088990854448,29.427877939124322,9.0,3.742399816292581,3.1622776601683795,18.667619023324857,18.788307117811787,-1.6407502259354214,88.66904755831214,0.9112903225806451,0.6584821811566784,0.04316812007179774,0.15899371425314937,0.1102581633879424,0.011931184757751706,0.02056751369523713,0.002879562589711266,0.010700520054792452,0.02160414442106965,0.012275125558066799,0.005133090157956282,0.003478935058445769,0.018780565253152554,0.02187717453130363,0.0064263451435360094,0.006052475486455246,0.009290588818615393,0.0093936933489995,0.009834733517720668,0.008114463709966747,0.007930886225019031,0.004161827141544785,0.005929246034252889,0.008081061737576023,0.00893778609247162,0.005823759533348674,0.003321068302681519,0.0031425589075062595,0.010209810943960703,0.007600948822034131,0,0.33388266642577946,0.1416342412121594,2.6489662528038025,0.8532539862208068,0.004943923093378544,0.0018005645833909512,0.0009155413135886192,7.629510946571827e-05,0.29767411084298306,0.015180370677301212,0.005462729837745428,0.00221255817450583,0.00862134713679552,0.002517738612368703,0.0044517688856770595,0.0018884565494954586,0.005860544807088058,0.0018877300580106345,0.00588998245075345,0.0018768596928566694,0.0034637979697436094,0.0016174563206732273,0.0034637979697436094,0.00158693827688694,0.0004537934725684623,0.00011718928813934324,0.0011112889112553687,0.00012694712089169168,0.006744487676769495,0.0019684138242155313,458.40602534070445,458.5264494438285,68.51037442463783,68.23307342894954,0.0,0.0,458.53761061946904,68.2433628318584,458.0,455.0,75.0,69.0,0.0,0.0,2
1,3,428,696,489,106,460,82,474.2359813084112,93.89252336448598,1.2527245016139026,453,0.7951361160115489,23.34408972623798,1,0.6149425287356322,0.7982601112309099,30.173254082562543,29.120439557122072,8.602325267042627,3.722544719140491,3.3839144678161843,17.179113807746667,18.29799662796053,56.92951083365817,82.08326112068524,0.9448123620309051,0.6426256192767095,0.011444552259653433,0.1703875765799581,0.10896460079864678,0.009261531855879097,0.005993483396630858,0.009796048911777053,0.024670653860350274,0.022879955850218993,0.004098279721629571,0.005472015210645396,0.00801315407617475,0.016136574203586832,0.025737378383521557,0.014993502765325463,0.011171681235766081,0.005453014967924162,0.003906883884964794,0.0021953546282128824,0.004503834535896674,0.005890519133217717,0.00782710556228055,0.016155294839504678,0.008252829114775775,0.009641366861799058,0.0008839981662963922,0.0028934252393178726,0.0010907970287738977,0.0014216589273449865,0.0016413818013353994,0,0.29629969340749085,0.12796215759590268,2.435904525220394,0.8046692605130374,0.004715037997812033,0.0017853055614978075,0.0009765774011611938,9.155413135886192e-05,0.537197891768334,0.035584585145713034,0.006164644844830036,0.0022735942620784044,0.008102540858089924,0.0023041123058646917,0.0043573484324631005,0.0018817964352338629,0.005691365713131762,0.001880068365684667,0.005752651486545801,0.0018768596928566694,0.0031586175318807364,0.001632715342566371,0.0031586175318807364,0.0016021972987800837,0.0006796811423908678,0.0001197054342625752,0.0011779898904793907,0.00012141323097572373,0.00666819280013442,0.0019684138242155313,473.9472302757042,474.24293624606514,93.4395284240827,93.85762506163007,0.0,0.0,474.2359813084112,93.89252336448598,470.0,475.0,92.0,85.0,0.0,0.0,3
1,4,1637,4980,238,192,178,109,208.0946854001222,149.96212583995114,2.5478269176407284,1820,0.979504442078603,45.654059345598846,1,0.32871485943775103,0.3924913396103036,102.98948927232586,94.30270409696638,9.899494936611665,4.504050531886111,4.242640687119285,20.708054698879003,20.744406651691644,34.10055645980509,228.93607486307093,0.8994505494505495,0.23437457941431028,0.008465642440848003,0.08832104350633053,0.06674455561337723,0.007165867369021512,0.00864172584940742,0.03914663452517286,0.04571989645159937,0.03375625334321765,0.0050225054186768215,0.007961078190455148,0.007604505586979416,0.02546692776976437,0.024191989740147503,0.026064679282424716,0.019981449418145985,0.0035686791992772344,0.005740176037754545,0.006737222063476067,0.00649164517391244,0.013295878214980104,0.016121175754915562,0.013358097332002232,0.015625807893262747,0.012522529315025234,0.0023168037408268774,0.00462198408932985,0.003943934043082262,0.005495009002940683,0.005352190706090578,1,0.6704356500413269,0.3602044708095491,6.79514772281982,3.1237048897892237,0.0032501716632395983,0.0018158236052840948,0.0007782101165503263,9.155413135886192e-05,0.5148964295491267,0.0019891804126892865,0.005035477224737406,0.0022735942620784044,0.007309071719646454,0.0023651483934372663,0.0035286086844280363,0.0018958130042607847,0.004150976006609542,0.001908188692601847,0.0038910505827516317,0.0019073777366429567,0.002594033721834421,0.0016174563206732273,0.002563515678048134,0.0013275349047034979,0.0005465082640794241,0.00012483601440853643,0.0010140761485233423,0.00012771869870035015,0.005050736479461193,0.0019989318680018187,207.86732462101853,208.09666751338466,149.50014596020765,149.96229336824416,0.0,0.0,208.0946854001222,149.96212583995114,217.0,190.0,161.0,114.0,0.0,0.0,4
1,5,1173,2553,396,194,359,125,379.1449275362319,159.67348678601874,2.0880573888260714,1348,0.9673733160136564,38.64595691627193,1,0.4594594594594595,0.4789140400792389,79.48402523417755,70.9365914038728,9.0,4.257898954988147,4.123105625617661,20.461807520605536,20.137692693964176,-21.15558448352676,175.4386001800126,0.8701780415430267,0.2968024614416427,0.0188129813546669,0.09613917416161416,0.08599731089614321,0.02567804025794338,0.007192759460433859,0.03553869340081697,0.048080585876915126,0.0427089113008143,0.022116148451266138,0.01262304184404183,0.0034033611530062853,0.019493177695566577,0.01776387978286334,0.02580759641105527,0.023939597363309462,0.014860784743105182,0.012100363657759437,0.005424024132646181,0.0017476901754369058,0.007018521652049102,0.007040984291969043,0.009442123921029348,0.012442024669233715,0.013840970910410783,0.007778420597185722,0.007220267302330835,0.005033428161587259,0.001695027438378966,0.0009580332712784973,1,0.7165636799763888,0.2880598152987659,7.348104176577181,2.239551384234801,0.004135195165872574,0.0018196383607573807,0.001907377503812313,9.155413135886192e-05,1.0279420444876433,0.018280835264094325,0.0077668423764407635,0.002243076218292117,0.01188677828758955,0.0024109254591166973,0.0047454548342807205,0.0019076808960183172,0.006264368436979694,0.0019092509669520895,0.005920500494539738,0.0019073777366429567,0.0028381780721247196,0.001632715342566371,0.002685587853193283,0.001541161211207509,0.0012242995151697303,0.00011702204955316636,0.0022965359208577648,0.00012611300513012448,0.008163576945662498,0.0019951171125285327,379.87128653727274,379.14392003761014,158.94611655812076,159.65523373464424,0.0,0.0,379.1449275362319,159.67348678601874,378.0,384.0,163.0,150.0,0.0,0.0,5
1,6,998,2520,565,181,509,136,537.1613226452906,158.9068136272545,1.9421210221984644,1074,0.9652211239458286,35.64678198162763,1,0.396031746031746,0.5149009709333193,70.67292122474124,64.40496875241847,8.602325267042627,4.085522164934065,4.061552812808831,17.736904198667734,18.476364707351898,-53.75364570725513,156.06601717798213,0.9292364990689013,0.3057248280029466,0.014016531889050186,0.10863104198643084,0.08475395259806441,0.016527661255788133,0.007018061687386182,0.04114343250726958,0.052763870533373815,0.04077360443464755,0.013185092233544743,0.010038944333185673,0.003921389538698662,0.025522338830743937,0.019909090242776283,0.027516711762208056,0.022409819466437098,0.00836124677828331,0.007980040246104606,0.005265650873034361,0.002282606709887604,0.008741857382157953,0.01051344009208102,0.008809051774306081,0.013336350419116514,0.01286063846312045,0.0036000172115184612,0.004268412692679218,0.0033087911881496002,0.00240747655542625,0.0013351979546928712,1,0.584161143284291,0.23471427476033568,6.790676822885871,1.89826810057275,0.00379949645139277,0.0018158236052840948,0.0017700467724353075,7.629510946571827e-05,0.8726187956679633,0.046690896950204785,0.010360876098275185,0.0021820401307195425,0.016922255977988243,0.00238040741533041,0.004673289146274328,0.0018777141980826854,0.0068042853936732175,0.0019020722450628757,0.00520332669839263,0.001892118714749813,0.0028076600283384323,0.0016174563206732273,0.0028076600283384323,0.001541161211207509,0.0017782612498324721,0.00010498036727833336,0.003638761206407148,0.00012411191928721966,0.009308003820478916,0.0019684138242155313,536.3528190216417,537.1883395094974,159.23512057676913,158.86873306913822,0.0,0.0,537.1613226452906,158.9068136272545,535.0,537.0,160.0,158.0,0.0,0.0,6
1,7,1437,3010,439,230,404,144,418.81002087682674,185.7035490605428,2.4540163981821106,1765,0.9769215161190399,42.77435242974964,1,0.47740863787375415,0.4074952395349849,97.97880350589745,86.88498144098322,9.219544457292887,4.304733603826686,4.123105625617661,21.97899178953164,20.928132832377464,-14.197495894461685,210.50966799187808,0.8141643059490085,0.24200167970198874,0.021087253567826463,0.07790993953384079,0.0713640098580295,0.027290401886594245,0.010557770061216559,0.023216672622477907,0.043781774993879655,0.035787303797304396,0.02357838982461859,0.017542335126044264,0.005982202307508741,0.013918748061191134,0.01444546874748813,0.025081882581370975,0.02091934519462029,0.017253510185514725,0.016817397167593118,0.009741698287616474,0.0037439900560738482,0.0021268568197401047,0.007516568381193636,0.007187065975357015,0.01470105689568597,0.012992404248456595,0.011557415332333114,0.011659716830098171,0.009327228415294462,0.005007081856961261,0.0025039937993370505,1,1.132509367307648,0.353292133891955,13.73517983383499,2.7764248105231673,0.006931410753168166,0.0018463416490703821,0.0026626987382769585,9.155413135886192e-05,0.9892617253063959,0.023644500085954492,0.010040436871349812,0.002288853283971548,0.01715114153921604,0.002731364918872714,0.006154942213628522,0.001920065945064973,0.009558232313037571,0.0019320979892297615,0.00962081365287304,0.0019226367585361004,0.003265430685132742,0.001632715342566371,0.003265430685132742,0.0015259021893143654,0.001556161958279208,0.0001239331147776327,0.003227849598900735,0.00013255440158912033,0.012264438904821873,0.0020141908898949623,418.29927511274616,418.8099069539936,184.85633154087625,185.7271932861783,0.0,0.0,418.81002087682674,185.7035490605428,421.0,417.0,167.0,173.0,0.0,0.0,7
1,8,1077,2108,414,207,380,145,396.88672237697307,176.29155060352832,1.85313360697942,1147,0.9593873634402832,37.03078435139837,1,0.5109108159392789,0.5396264987228767,70.35675680491208,64.62197768561404,9.433981132056603,4.378733474838447,4.123105625617661,18.892102269205882,19.847077044325626,-21.838144551975432,158.36753236814712,0.9389712292938099,0.32776161652066577,0.011695608860703463,0.11804149316714604,0.08883576918254357,0.008018976657418285,0.009005033946327628,0.04434624731956399,0.0554311067225196,0.04127569160025054,0.003881403093398079,0.007741347515776574,0.0067482642390391595,0.02627168861767573,0.020627190226600728,0.026817737613563267,0.021744588838473827,0.0020932532576864575,0.004057606779323628,0.005371849737496399,0.004830868249941327,0.007586957041520234,0.010027139741285992,0.007407746844434496,0.01149768739282662,0.011878926144225038,0.0011030015597149015,0.001299825981540166,0.0025654661583187966,0.0027915190379612146,0.0033142969850015083,1,0.8136415788903832,0.2611734187230468,10.05253692669794,2.078507667174563,0.005615320056676865,0.0018463416490703821,0.003372243605554104,9.155413135886192e-05,2.8996856981488106,0.07880497600222755,0.009781032800674438,0.0023193713277578354,0.019851988181471825,0.0025024795904755592,0.005982658668311641,0.001920392784728285,0.009333831872514336,0.0019299049834489905,0.008636606391519308,0.0019226367585361004,0.0033722438383847475,0.001632715342566371,0.0033722438383847475,0.0014038300141692162,0.0015927636682748615,0.00013136123773201583,0.004160459691076607,0.0001358701311617497,0.012520027346909046,0.0020141908898949623,395.68664058719406,396.9200601989502,178.93124392774035,176.22014462430715,0.0,0.0,396.88672237697307,176.29155060352832,393.0,384.0,185.0,195.0,0.0,0.0,8
1,9,837,1880,974,193,934,146,953.1194743130227,168.43249701314218,1.728959033588437,905,0.9505547169847992,32.64508384034771,1,0.4452127659574468,0.5783827034493177,59.368947554998854,54.20332093147061,8.54400374531753,4.024187725669741,3.605551275463989,17.799160439738458,18.43744987052106,-38.16100163639421,134.8528137423857,0.9248618784530387,0.36273025831971795,0.023356676238238647,0.12115671434948294,0.09679427923911929,0.02295725607077337,0.015238019741396597,0.03752802976735817,0.055513416132278344,0.0419167211892413,0.014978189454765098,0.014308473432265845,0.00967670875654015,0.02075464730550052,0.015624858521532137,0.02279321120160025,0.0200898024075741,0.007730848346832592,0.006151073297734354,0.006655652250695571,0.005735516606099561,0.003584064469563302,0.006092437408635262,0.002647048724528518,0.006546852722365022,0.009830874469800951,0.0017610443121886157,0.001380257869834634,0.001545112839805239,0.0014544257522712363,0.0030596228370722437,1,0.5013504312373698,0.20384527347050607,4.921828127698973,1.5833066296763718,0.0048981462605297565,0.0018005645833909512,0.0009308005683124065,9.155413135886192e-05,0.3896768337083077,0.028169253408976115,0.006652933545410633,0.0021362630650401115,0.009018082171678543,0.002563515678048134,0.004557731193066998,0.0018531388497318735,0.005880320343726372,0.001891644718848712,0.0059967958368361,0.0018768596928566694,0.0026703288313001394,0.0016021972987800837,0.0026703288313001394,0.0014648661017417908,0.0008134536909700586,0.00011667436355162304,0.0012278157029806081,0.00013380197125940205,0.006820783019065857,0.0019684138242155313,952.7305085618974,953.0953624641005,168.40896662469498,168.4470615446888,0.0,0.0,953.1194743130227,168.43249701314218,957.0,963.0,167.0,151.0,0.0,0.0,9
1,10,1085,2240,457,223,425,153,440.5069124423963,187.93824884792627,2.1556468893332994,1176,0.9711961719475847,37.1680629847407,1,0.484375,0.463897869798741,76.8484898912795,71.06335201775947,8.54400374531753,4.08146103728622,4.0,17.33665576250284,18.31156092286105,-16.341803745881368,171.4386001800126,0.9226190476190477,0.27305315385112505,0.015815271085939955,0.10319608382306003,0.07402906708343394,0.016383138146670508,0.011820428645903694,0.03894318720364123,0.051176542570406915,0.035087678043551535,0.012463037141054248,0.013195307561027584,0.00885112023658814,0.026873973274127664,0.019821785984399893,0.027853844253597305,0.01912762443423128,0.009188018562828288,0.00837371089391093,0.009780764729234906,0.006451153788925054,0.009679300399687162,0.012968066049697151,0.009603334005692176,0.014931495129025934,0.011018260466383507,0.0047375346759729615,0.00600099181715652,0.004259203380566564,0.006708064145152158,0.004493340208941354,1,0.7449149454478174,0.27940794988535345,7.487220678478479,2.0761577778030187,0.004139009863138199,0.0018310826271772385,0.0024109254591166973,7.629510946571827e-05,0.20360687348878587,0.011518395752985126,0.008407721295952797,0.002243076218292117,0.014221408404409885,0.0024567025247961283,0.005067448608488554,0.001900734352961588,0.006900664219795833,0.0019135094726295103,0.006408789195120335,0.0019073777366429567,0.0031128404662013054,0.001632715342566371,0.002777141984552145,0.0015259021893143654,0.0014078571765998773,0.00011894486385994231,0.0029211563717631076,0.0001254933727659356,0.009430075995624065,0.0019989318680018187,440.3038548917494,440.49904822101854,187.95319508682283,187.92983294257724,0.0,0.0,440.5069124423963,187.93824884792627,438.0,446.0,190.0,168.0,0.0,0.0,10
