ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,59.58585858585859,62.83838383838384,0,1
1,2,458.52542372881356,68.1822033898305,0,2
1,3,474.3939393939394,93.87445887445888,0,3
1,4,208.23523717328172,149.97870280735722,0,4
1,5,379.27939142461963,159.66804979253112,0,5
1,6,537.2380165289256,158.98347107438016,0,6
1,7,418.2549634273772,186.3730407523511,0,7
1,8,396.73352855051246,176.8462664714495,0,8
1,9,953.1102204408818,168.35470941883767,0,9
1,10,440.3328358208955,188.00746268656715,0,10
1,11,964.3101694915255,188.97627118644067,0,11
1,12,427.390243902439,190.02439024390245,0,12
1,13,400.4036697247706,202.91743119266056,0,13
1,14,387.57284768211923,238.35099337748343,0,14
1,15,400.27906976744185,231.22093023255815,0,15
1,16,805.9198412698413,246.2642857142857,0,16
1,17,408.91012838801714,257.981455064194,0,17
1,18,720.3996840442338,257.9462875197472,0,18
1,19,722.9389763779527,297.0659448818898,0,19
1,20,756.4257425742575,265.0693069306931,0,20
1,21,750.5590909090909,290.6818181818182,0,21
1,22,391.50531107739,302.40060698027315,0,22
1,23,313.23333333333335,286.84761904761905,0,23
1,24,707.5241379310345,291.6,0,24
1,25,690.8164852255054,315.2923794712286,0,25
1,26,413.27076923076925,323.07384615384615,0,26
1,27,437.6387434554974,329.8778359511344,0,27
1,28,339.6363636363636,311.61722488038276,0,28
1,29,425.4940476190476,339.9404761904762,0,29
1,30,427.355421686747,371.29819277108436,0,30
1,31,688.1727272727272,405.17922077922077,0,31
1,32,665.9924924924925,400.5810810810811,0,32
1,33,677.0636363636364,406.7909090909091,0,33
1,34,664.4137931034483,454.98659003831415,0,34
1,35,690.9610829103215,463.96108291032147,0,35
1,36,678.1497005988024,451.1976047904192,0,36
1,37,440.630303030303,502.48939393939395,0,37
1,38,711.9311475409836,523.6901639344262,0,38
1,39,137.4063157894737,526.2747368421053,0,39
1,40,490.6078697421981,529.0868385345997,0,40
1,41,128.04180327868852,551.5606557377049,0,41
1,42,497.28225806451616,544.1451612903226,0,42
1,43,451.74709677419355,557.4967741935484,0,43
1,44,502.18043844856663,557.6863406408095,0,44
1,45,450.43771626297575,581.8615916955017,0,45
1,46,477.06976744186045,578.3720930232558,0,46
1,47,478.9739837398374,591.4276422764227,0,47
1,48,698.6643356643357,611.4825174825174,0,48
1,49,937.2752420470263,694.0325034578146,0,49
1,50,504.64480408858606,709.0178875638842,0,50
1,51,117.27949183303085,697.7731397459165,0,51
1,52,84.84965034965035,724.9895104895105,0,52
1,53,271.09498680738784,746.5501319261214,0,53
1,54,443.3915275994865,770.5430038510912,0,54
1,55,466.13556338028167,769.8785211267606,0,55
1,56,915.131221719457,767.4457013574661,0,56
1,57,553.6395348837209,797.0953488372093,0,57
1,58,234.92139737991266,764.4781659388647,0,58
1,59,531.4356846473029,786.3672199170124,0,59
1,60,511.9713193116635,794.8030592734226,0,60
1,61,576.9641434262949,803.8605577689243,0,61
1,62,608.4461538461538,832.1274725274725,0,62
1,63,217.35384615384615,811.876923076923,0,63
1,64,510.47131147540983,835.8381147540983,0,64
1,65,540.652380952381,816.6380952380953,0,65
1,66,594.3352112676056,831.2957746478874,0,66
1,67,183.82716049382717,845.3403880070547,0,67
1,68,518.2844827586207,829.0258620689655,0,68
1,69,539.3,842.73,0,69
1,70,564.9324452901998,877.9267364414843,0,70
1,71,585.7389984825493,876.1335356600911,0,71
1,72,671.3028846153846,916.8341346153846,0,72
2,1,82.82621951219512,68.98780487804878,0,1
2,2,107.47265625,60.453125,0,2
2,3,112.5788043478261,90.87228260869566,0,3
2,4,617.8026172300981,93.00218102508178,0,4
2,5,95.57711442786069,87.95024875621891,0,5
2,6,137.71022727272728,93.77462121212122,0,6
2,7,104.18871252204586,119.23809523809524,0,7
2,8,99.54655172413793,220.81724137931033,0,8
2,9,84.08620689655173,278.7559681697613,0,9
2,10,980.2442307692307,292.0153846153846,0,10
2,11,747.0477272727272,326.6545454545454,0,11
2,12,96.42886812045691,324.44236760124613,0,12
2,13,102.68715083798882,339.12849162011173,0,13
2,14,520.1232876712329,357.8401826484018,0,14
2,15,97.98529411764706,365.7647058823529,0,15
2,16,186.85204755614268,357.446499339498,0,16
2,17,530.951090548579,380.3602115003305,0,17
2,18,581.2640163098879,392.7737003058104,0,18
2,19,165.3,365.75,0,19
2,20,68.09493670886076,376.00632911392404,0,20
2,21,138.3099173553719,384.297520661157,0,21
2,22,311.7411225658648,386.81901489117985,0,22
2,23,208.4522502744237,380.35455543358944,0,23
2,24,64.1750700280112,406.9719887955182,0,24
2,25,531.2696078431372,398.5147058823529,0,25
2,26,488.5823927765237,399.03160270880363,0,26
2,27,348.48330297510626,409.1402550091075,0,27
2,28,467.3016129032258,410.88709677419354,0,28
2,29,581.3670634920635,440.18948412698415,0,29
2,30,459.85126964933494,430.9588875453446,0,30
2,31,498.615,416.83,0,31
2,32,585.3529411764706,422.781512605042,0,32
2,33,524.6355140186915,424.69158878504675,0,33
2,34,54.509433962264154,420.5566037735849,0,34
2,35,438.75395256916994,443.0306324110672,0,35
2,36,395.6822916666667,422.21875,0,36
2,37,559.2883720930232,433.06511627906974,0,37
2,38,383.75877192982455,436.07456140350877,0,38
2,39,449.7956989247312,437.4193548387097,0,39
2,40,564.4404003639672,460.6769790718835,0,40
2,41,615.5714285714286,460.10603829160533,0,41
2,42,544.9308252427185,470.7099514563107,0,42
2,43,510.38705950317734,469.0953206239168,0,43
2,44,449.95575221238937,477.78002528445006,0,44
2,45,670.2327485380117,522.395321637427,0,45
2,46,757.8475991649269,553.7954070981211,0,46
2,47,484.28546861564917,693.0111779879621,0,47
2,48,462.2867383512545,677.8799283154121,0,48
2,49,506.02914389799633,684.1639344262295,0,49
2,50,94.17567567567568,704.8262548262549,0,50
2,51,624.0400307929176,734.81909160893,0,51
2,52,74.91801075268818,724.7190860215054,0,52
2,53,413.92951849267274,720.0314026517794,0,53
2,54,58.8976,740.008,0,54
2,55,427.219646799117,739.8311258278146,0,55
2,56,413.59223300970876,731.7766990291262,0,56
2,57,201.68470906630583,774.3599458728011,0,57
2,58,630.1935483870968,767.0555555555555,0,58
2,59,164.58808933002481,779.5818858560795,0,59
2,60,928.9626719056974,781.6129666011788,0,60
2,61,264.9371428571429,793.9542857142857,0,61
2,62,187.05,776.7071428571429,0,62
2,63,629.535294117647,792.6867647058823,0,63
2,64,260.66434540389974,817.8286908077995,0,64
2,65,323.46206896551723,829.9770114942529,0,65
2,66,194.5593607305936,856.2397260273973,0,66
2,67,227.94679564691657,846.869407496977,0,67
2,68,390.61959654178673,867.864553314121,0,68
2,69,298.71714285714285,849.1428571428571,0,69
2,70,589.1818181818181,880.463768115942,0,70
2,71,344.1653290529695,876.817014446228,0,71
2,72,366.72983870967744,872.4354838709677,0,72
2,73,444.95320623916814,913.4540727902946,0,73
2,74,617.5190114068441,931.4524714828897,0,74
2,75,612.9015345268542,957.7519181585677,0,75
3,1,537.8908865468072,218.61934283942963,0,1
3,2,555.9018036072144,210.02805611222445,0,2
3,3,547.5833333333334,218.19791666666666,0,3
3,4,528.6103404791929,242.74401008827238,0,4
3,5,703.4044368600682,282.34129692832767,0,5
3,6,258.0765864332604,302.22100656455143,0,6
3,7,126.52,330.68,0,7
3,8,306.51973684210526,353.0501644736842,0,8
3,9,262.675615212528,350.8489932885906,0,9
3,10,246.5593220338983,345.2768361581921,0,10
